日期,当日销量（张）,当日销量（元）,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）
2023/9/18,386,10422,0,0,386,10422,0,0,0,0,0,0
2023/9/19,385,10395,0,0,385,10395,0,0,0,0,0,0
2023/9/20,336,9072,0,0,336,9072,0,0,0,0,0,0
2023/9/21,419,11313,0,0,419,11313,0,0,0,0,0,0
2023/9/22,559,15093,0,0,559,15093,0,0,0,0,0,0
2023/9/23,1400,37800,0,0,1400,37800,0,0,0,0,0,0
2023/9/24,1035,27945,0,0,1035,27945,0,0,0,0,0,0
2023/9/25,657,17739,0,0,657,17739,0,0,0,0,0,0
2023/9/26,631,17037,0,0,631,17037,0,0,0,0,0,0
2023/9/27,3562,96174,0,0,3562,96174,0,0,0,0,0,0
2023/9/28,895,24165,0,0,895,24165,0,0,0,0,0,0
2023/9/29,1094,29538,0,0,1094,29538,0,0,0,0,0,0
2023/9/30,1054,28458,0,0,1054,28458,0,0,0,0,0,0
2023/10/1,625,16875,0,0,625,16875,0,0,0,0,0,0
2023/10/2,554,14958,0,0,554,14958,0,0,0,0,0,0
2023/10/3,491,13257,0,0,491,13257,0,0,0,0,0,0
2023/10/4,404,10908,0,0,404,10908,0,0,0,0,0,0
2023/10/5,492,13284,0,0,492,13284,0,0,0,0,0,0
2023/10/6,375,10125,0,0,375,10125,0,0,0,0,0,0
2023/10/7,351,9477,0,0,351,9477,0,0,0,0,0,0
2023/10/8,335,9045,0,0,335,9045,0,0,0,0,0,0
2023/10/9,339,9153,0,0,339,9153,0,0,0,0,0,0
2023/10/10,344,9288,0,0,344,9288,0,0,0,0,0,0
2023/10/11,330,8910,0,0,330,8910,0,0,0,0,0,0
2023/10/12,287,7749,0,0,287,7749,0,0,0,0,0,0
2023/10/13,329,8883,0,0,329,8883,0,0,0,0,0,0
2023/10/14,404,10908,0,0,404,10908,0,0,0,0,0,0
2023/10/15,415,11205,0,0,415,11205,0,0,0,0,0,0
2023/10/16,408,11016,0,0,408,11016,0,0,0,0,0,0
2023/10/17,318,8586,0,0,318,8586,0,0,0,0,0,0
2023/10/18,240,6480,0,0,240,6480,0,0,0,0,0,0
